,S1,S2,alarm
0,0.9602407350617821,0.26132459538226605,1
1,0.017389982211297728,0.07236161307560507,1
2,0.5401657351691338,0.08892617884425091,1
3,0.5967581313805044,0.5554293515539189,0
4,0.44972577720561835,0.46691497499802015,0
5,0.5275500485173121,0.43049533800463924,0
6,0.06571311576640182,0.47438768764128747,1
7,0.13247645930587792,0.3140803313140862,0
8,0.960156858595492,0.17121508704370325,1
9,0.1851103922966839,0.19903488906311095,1
10,0.6278513235853997,0.5312886445806306,1
11,0.3094976182499821,0.81096391301276,1
12,0.7250694378761877,0.66692215321939,1
13,0.5832000506062233,0.7543717111858113,0
14,0.6032238617703121,0.3344740973912348,0
15,0.9215369400481137,0.871915011550817,1
16,0.9955117164701826,0.0003977339022015469,0
17,0.3752956326379244,0.8569998363451338,1
18,0.8298500277933419,0.3050271860708783,1
19,0.12381355357288659,0.023541795613189254,1
20,0.7629125749385913,0.8856956861805978,1
21,0.06347830324057191,0.03410492878540272,1
22,0.30163412609441154,0.8542663925781917,1
23,0.018179908272730083,0.02704909897293062,1
24,0.4344289368158635,0.5501243113655339,1
25,0.47494747852955654,0.11304504890771827,0
26,0.03984886181467606,0.37485752098360436,1
27,0.9173831200205209,0.5243281446367298,1
28,0.9248166541958854,0.49941860780667213,1
29,0.27102514608074724,0.47718314532864514,0
30,0.759957157689096,0.842493078140921,1
31,0.9891042227052638,0.15865365075425908,0
32,0.4945295568265955,0.9692083923644254,0
33,0.43589484629790176,0.5142441262603513,0
34,0.09061054910152933,0.2452239858402977,0
35,0.427862097351035,0.5298912249305365,0
36,0.5524088730462585,0.4930173672487259,1
37,0.20072284014038178,0.7646102710891712,0
38,0.8892501477081766,0.5078892356702582,1
39,0.21745171918081707,0.3628278281245293,1
40,0.6334974407193629,0.5805097857850956,1
41,0.7645850421012991,0.3915526139344052,1
42,0.786103785776175,0.4865774850260677,0
43,0.785890503206895,0.2832567981450529,0
44,0.4666299693263959,0.9832972819540138,1
45,0.3604084656930927,0.5577568773687656,1
46,0.39424541467411156,0.5332033548659124,0
47,0.6062486716363455,0.8833746289808867,1
48,0.705440885778604,0.8478652155782114,1
49,0.3471754856771345,0.5783716275124653,0
50,0.9166687465584644,0.37874172225526737,1
51,0.38624476263231844,0.6986839295397316,1
52,0.1477442900229602,0.26087563263387525,1
53,0.08148458293938998,0.10741664524173478,1
54,0.4623440158067641,0.1517472708898462,0
55,0.18278926833136355,0.02783821840372047,1
56,0.5629829922877855,0.600659463035323,1
57,0.936682855514701,0.17750160996373077,1
58,0.09118087446811995,0.10745299163510014,1
59,0.898571383834669,0.3731634702558275,1
60,0.11958839059488124,0.552258553269161,1
61,0.7491991000819849,0.46228959656372115,1
62,0.6636083550441743,0.40900335001304566,1
63,0.5626220885594252,0.08761599750138893,1
64,0.45864064901156254,0.7200964138140244,0
65,0.17840762471503235,0.07246306008034231,0
66,0.5334789041845903,0.7777995154102321,1
67,0.16843481433814622,0.2357851248711993,1
68,0.9477629712994975,0.6092233504004853,1
69,0.38317705187337625,0.9466880750189143,1
70,0.2679284170405216,0.12434422680145107,1
71,0.5288156321824611,0.40448521018950023,0
72,0.5648489256686184,0.10915988015772549,1
73,0.3648261792103995,0.5205393321154609,1
74,0.7003764039162834,0.26655216667748793,1
75,0.24932556266697037,0.5492462049586537,1
76,0.6750106778849453,0.7931701913781324,1
77,0.939558434711045,0.6696359342634755,1
78,0.5837700769800751,0.040475811852084154,1
79,0.7105263746394678,0.9852358913103747,0
80,0.46499962154157004,0.49666704493656644,1
81,0.7754535820316446,0.7496691897454835,1
82,0.0195431137739579,0.23848504474292853,0
83,0.2577686954595546,0.6277833715702898,1
84,0.6486035921571203,0.29705730395331176,1
85,0.7852349206887529,0.010457742303003448,1
86,0.850454826285133,0.369369453735634,1
87,0.7558790700002924,0.4610592166761608,1
88,0.7248590289311586,0.8005879365572955,0
89,0.8763820551694368,0.546806971588827,0
90,0.2639112955082792,0.46932542706785874,1
91,0.27974645962738265,0.09122114052114083,0
92,0.6281793134969047,0.04648317472171759,0
93,0.03437257039245312,0.9256366899738568,1
94,0.07909839392396523,0.11449280295586539,0
95,0.41977642724285313,0.18653968114292985,1
96,0.13181845699396622,0.5129974066077362,0
97,0.1988412313767054,0.690410838976581,0
98,0.1651112521273933,0.3877524496681938,1
99,0.5564237996309155,0.7073447463368402,1
100,0.33951418610782347,0.5583913101366799,1
101,0.8685762715663807,0.9795783213408277,1
102,0.1867396834934173,0.23351171867471998,1
103,0.033669509206549875,0.239275660562972,0
104,0.980336725549453,0.4601454692293162,0
105,0.47951753969466626,0.3281380123226193,1
106,0.6659111563607445,0.2948432796034316,1
107,0.9656562770404947,0.1414378110139638,0
108,0.13887319013332988,0.7364430067721448,0
109,0.9418066935042945,0.16573313411260704,0
110,0.6625264943231116,0.04969678181257453,0
111,0.8651052929760747,0.09184530590770723,1
112,0.831163577502296,0.974929542719467,1
113,0.8374648670032979,0.7878686658868137,1
114,0.6547039151557067,0.5233219307823297,0
115,0.42103704642957784,0.9426441859093477,0
116,0.15074163900751558,0.42737823248421025,0
117,0.9941027967688634,0.6241837309889947,0
118,0.2586574215761106,0.38198464819525724,1
119,0.6470153168869214,0.09263450720558919,1
120,0.30542411210840714,0.16519116945936352,1
121,0.04303858979218955,0.576922602889214,0
122,0.9127271256022254,0.3041177328785434,1
123,0.37406050932333335,0.7546570032177272,1
124,0.9920391113411727,0.14071707009469403,0
125,0.7779937830574758,0.4202044040287619,1
126,0.3771956951522377,0.44140878673602646,1
127,0.5700234647240524,0.4446229209435617,1
128,0.33959416721288216,0.3589147926296984,1
129,0.8850416674509265,0.1930302366082307,0
130,0.9982316156087118,0.756239216275199,0
131,0.8759820577564903,0.3765151031616485,1
132,0.1878428892989954,0.12270109361887627,1
133,0.5338982856602282,0.7975090917818975,0
134,0.2514934855749441,0.9403246143524938,1
135,0.8467437304891705,0.2757059415025256,0
136,0.3760130230954428,0.18423520339102928,0
137,0.7645166194106763,0.6000924459338861,0
138,0.1680494322255468,0.4976798672404038,0
139,0.10438429866663734,0.05444940245350938,0
140,0.7006397269135916,0.7945022745988323,1
141,0.17359561282109082,0.34565626606262656,1
142,0.5878739173683004,0.11277135774748015,1
143,0.2235743187422159,0.8793258958170023,1
144,0.7621890228603687,0.2565159667018353,1
145,0.2791333420691866,0.453829316645897,1
146,0.2284189584471733,0.23848022445494288,1
147,0.4853338402593549,0.03246698134951165,0
148,0.6926490674927678,0.06960423582300823,0
149,0.361387603468034,0.04674270387411461,0
150,0.0201486554405933,0.400525402768218,1
151,0.8767326405257321,0.30124637821690126,1
152,0.504943875730257,0.844080418599118,1
